"cluster_id","youtube_video_id","exercise_id","exercise_name","media_review_status","decision","reviewer_name","reviewed_at","evidence"
"yt-065","yC3Vpiv9InY","0a379d97-b76e-45f9-99b9-7fe1ad2298d6","Wall Drill Propulsão Diagonal","needs_review","","","",""
"yt-065","yC3Vpiv9InY","af1cab29-e1e0-4e01-81d1-66db789c39ec","Wall sprint march com banda","needs_review","","","",""
"yt-066","YRw32M0yjIk","1a753479-4b74-43b2-8e75-1a9ace6d4b35","Biset Cadeira Abdutora 45 + 90","needs_review","","","",""
"yt-066","YRw32M0yjIk","4da66eac-c9b9-4f03-bc6f-a69da1eba99f","Cadeira Abdutora 45","needs_review","","","",""
"yt-067","YtuQxUdulcg","24b1e69b-e3d3-45c1-8fd2-55356f6e87e9","Pistol squat","needs_review","","","",""
"yt-067","YtuQxUdulcg","26f53a45-0947-40a6-a2b5-5c7fd7fe3b5c","Pistol squat assistido","needs_review","","","",""
"yt-068","Z-MxAzTXBcM","1f9c9f42-ac95-4fee-9925-086f390c9ec8","Pliometria Plano Frontal Elevação","needs_review","","","",""
"yt-068","Z-MxAzTXBcM","c5e71701-baac-4c7a-926c-a5215c36938a","Panturrilha com controle de Inversão","needs_review","","","",""
"yt-069","z5j5hHsEcqU","03a0f23f-cab8-41ad-9c51-5b5f928ec103","Box jump","needs_review","","","",""
"yt-069","z5j5hHsEcqU","20c16979-e09d-4122-a3b5-0b6876dfe77a","Box jump com aterrissagem suave","needs_review","","","",""
"yt-069","z5j5hHsEcqU","ebfc7276-35e4-4b9f-b030-05a170d6fcef","Box Jump Uni","needs_review","","","",""
"yt-070","ZgZ60GyYo34","8f4d5caa-48e0-4974-99c9-91600a9c704c","Salto Barra Hexagonal Contínuo ( pré plio )","needs_review","","","",""
"yt-070","ZgZ60GyYo34","9d3992cd-2ed4-4ace-a7b7-242d3a6fcc2b","Salto barra Hexagonal c/ contramovimento ( pré plio )","needs_review","","","",""
"yt-070","ZgZ60GyYo34","f18ce369-a648-4f14-a9c9-b0ed18e75cd7","Salto com Barra Hexagonal S/ contramovimento ( pré plio )","needs_review","","","",""
"yt-071","ZM5qDjtxlm0","2f55744f-a768-4738-b6fd-665d3723123c","Mobilidade rot quadril ext int","needs_review","","","",""
"yt-071","ZM5qDjtxlm0","7be698a4-1cac-468e-bfc0-ba79189768f9","Mobilidade 90-90 Rot. interna","needs_review","","","",""
"yt-071","ZM5qDjtxlm0","affde76f-d5b2-42d3-97bd-188e630d1127","Mobilidade de Quadril Rotação Interna Deitado","needs_review","","","",""
"yt-072","ZpIMkV6cf7c","7fa7c63d-5642-4d41-acd3-f3e468e53370","Agachamento búlgaro","needs_review","","","",""
"yt-072","ZpIMkV6cf7c","c452607e-7dff-463d-adb2-a712059a8d26","Agachamento Búlgaro","needs_review","","","",""
