"exercise_id","exercise_name","priority","target_count","current_targets","targets_review_status","safety_review_status","media_review_status","youtube_video_id","queue_reason","reviewer_name","reviewed_at","decision_reason","evidence","ready_for_upsert"
"c7f31a16-ff3f-479e-b8db-cf64121acc2f","Broad jump para salto vertical","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","uhz-ia-2UcM","single_target","","","","","false"
"53377cb6-f755-4f49-ac76-e55e150835bb","Búlgaro com salto","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","not_in_scope","","single_target","","","","","false"
"81ebac28-3799-4ce2-8efd-9f28194b0d74","Burpee","P1","1","Funcional:primary:100","needs_review","needs_review","not_in_scope","aFSpzKujvZk","single_target | safety_metadata_gap","","","","","false"
"5b52b781-571c-4aca-99bf-e66c4a8ab4b4","Burpee box jump","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","HWkusQYVQAo","single_target","","","","","false"
"38a69b08-2a5f-41a2-a635-46009fb9f8f9","Complex controle motor (Stiff uni + overhead knee drive + afundo)","P1","1","Posterior de Coxa:primary:100","needs_review","not_in_scope","not_in_scope","io3KJ3oN5mk","single_target","","","","","false"
"c2df4c00-a3c7-4ed2-9310-a58b1971fa6f","Crucifixo Inclinado Halteres","P1","2","Deltoide Anterior:secondary:20 | Peitoral:primary:100","not_in_scope","needs_review","not_in_scope","uy9Xk3SVrms","safety_metadata_gap","","","","","false"
"cad889ac-c8da-4654-b27a-41555e10f212","Crucifixo Invertido Curvado","P1","1","Deltoide Posterior:primary:100","needs_review","not_in_scope","not_in_scope","RNbyHvsFdMY","single_target","","","","","false"
"430e38a3-2815-45b1-af80-712184dd17c2","Crucifixo Reto Halteres","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","not_in_scope","NB_1mCfIOLU","safety_metadata_gap","","","","","false"
"e439f3e2-3bc0-4e34-abb3-d225bab8d710","Crucifixo Unilateral em Prancha Lateral em Abdução","P1","1","Abdominais:primary:100","needs_review","needs_review","needs_review","pWGhRO5grqs","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"4b47b4ab-0617-4698-acac-14469bd12fb0","DB Snatch (saída de Afundo)","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","needs_review","lm4SGxjUbUE","single_target | duplicate_video_cluster","","","","","false"
"1237c3d4-1244-480c-9261-034036833851","Depth jump (salto em profundidade)","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","wD4MGJljOVo","single_target","","","","","false"
"606fe07b-7696-428d-91b3-012863ca5554","Desenvolvimento Arnold em Pé","P1","3","Deltoide Anterior:primary:1 | Deltoide Lateral:secondary:0.5 | Tríceps:secondary:0.5","not_in_scope","not_in_scope","needs_review","W54zDLDAUbQ","duplicate_video_cluster","","","","","false"
"e1000001-0000-0000-0000-000000000015","Desenvolvimento com Halteres","P1","3","Deltoide Anterior:primary:1 | Deltoide Lateral:secondary:0.5 | Tríceps:secondary:0.5","not_in_scope","needs_review","needs_review","DFXtzdXN_iY","safety_metadata_gap | duplicate_video_cluster","","","","","false"
"e9356e80-6f25-4ac7-bce7-afc652825220","Desenvolvimento Halteres em Pé","P1","3","Deltoide Anterior:primary:1 | Deltoide Lateral:secondary:0.5 | Tríceps:secondary:0.5","not_in_scope","not_in_scope","needs_review","DFXtzdXN_iY","duplicate_video_cluster","","","","","false"
"8cc16422-0075-4d1f-be09-83902ea0bbf5","Desenvolvimento militar","P1","1","Peso Livre:primary:100","needs_review","not_in_scope","not_in_scope","SyJHXzQTtOc","single_target","","","","","false"
"c8dfd65e-2b07-405f-a506-311c0995241c","Encolhimento Overhead Barra","P1","1","Trapézio:primary:1","needs_review","not_in_scope","not_in_scope","kAA_D09oBfI","single_target","","","","","false"
"c7e285f9-ef03-4c45-81ee-635ae58b236f","Encolhimento Overhead Smith","P1","1","Trapézio:primary:1","needs_review","not_in_scope","not_in_scope","YOY9ie5RJ4Y","single_target","","","","","false"
"3b90e2e4-187b-47d7-b862-647387e6271d","Fisio Joelho: agachamento declinado unipodal lento","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","not_in_scope","s7i94Okznns","single_target","","","","","false"
"132ed659-277c-4f83-b6d1-768271f8dc90","Fisio Joelho: agachamento isométrico (carga estática)","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","not_in_scope","p1KsWs_SNjg","single_target","","","","","false"
"6d12d3e8-472b-495a-af17-0ae077bed6ce","Fisio Joelho: salto em profundidade (energy storage)","P1","1","Mobilidade:primary:100","needs_review","not_in_scope","not_in_scope","1INAOFWISRU","single_target","","","","","false"
"e7f34a26-20b8-4d7c-bd8b-1d6a0c2ff97a","Fisio Posterior: terra romeno unipodal lento (HSR)","P1","1","Posterior de Coxa:primary:100","needs_review","not_in_scope","not_in_scope","lI8-igvsnVQ","single_target","","","","","false"
"fd207a91-506b-466d-8d6c-d905e97e690a","Flexão de Punho na Barra Fixa ou Antebraço na Barra Fixa","P1","3","Deltoide Anterior:secondary:0.5 | Tríceps:secondary:0.5 | Peitoral:primary:1","not_in_scope","needs_review","not_in_scope","W_NaNuH6LxY","safety_metadata_gap","","","","","false"
"4f60051c-3bfa-41c8-9a1b-a4bacb4c4b70","Hurdle hops frontais","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","pPnrwBKa3Mo","single_target","","","","","false"
"af214287-5ae5-4074-982d-15cb712c7d25","Hurdle hops laterais","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","LgUt0-9vwm8","single_target","","","","","false"
"3698ab9b-bf41-4619-bb02-746098528036","Hurdle hops reativos (rebote rápido)","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","v9G12UBRcPg","single_target","","","","","false"
"4db43101-8c16-40ec-918c-fefdf8f2c02c","Hurdle hops unipodais","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","ddrpoegP7pU","single_target","","","","","false"
"dcc98681-1add-43fc-99ed-ba5967c2b9a5","KB Swing","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","MB87gQFA_y0","single_target","","","","","false"
"e1000001-0000-0000-0000-000000000011","Leg Press 45°","P1","4","Adutores:secondary:0.5 | Quadríceps:primary:1 | Glúteo:secondary:0.5 | Posterior de Coxa:secondary:0.5","not_in_scope","needs_review","not_in_scope","waAxlYvtCcI","safety_metadata_gap","","","","","false"
"f0cf83a8-0bf6-4e3f-aa65-fb7fb7b81aee","Levantamento terra","P1","1","Posterior de Coxa:primary:100","needs_review","not_in_scope","needs_review","Nf9O-pEl1ok","single_target | duplicate_video_cluster","","","","","false"
"2345fdf0-2bb7-49c0-839d-1d1bfd3024f8","Levantamento Terra","P1","4","Glúteo:secondary:0.5 | Dorsal:secondary:0.5 | Posterior de Coxa:primary:1 | Lombar / Eretores:secondary:0.5","not_in_scope","not_in_scope","needs_review","Nf9O-pEl1ok","duplicate_video_cluster","","","","","false"
"45912e02-399e-4442-8b13-365e834fab4b","Levantamento Terra Sumô","P1","4","Glúteo:secondary:0.5 | Dorsal:secondary:0.5 | Posterior de Coxa:primary:1 | Lombar / Eretores:secondary:0.5","not_in_scope","not_in_scope","needs_review","rEsnCJlHaN0","duplicate_video_cluster","","","","","false"
"9c9491ac-77e1-4d82-801c-df380fb098e3","Lift com anilha em Base Afundo Isométrico","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","needs_review","a8Pi1R6UFls","single_target | duplicate_video_cluster","","","","","false"
"43870805-9053-422a-b7e5-81c711089b90","Med ball chest throw deitado (supino explosivo)","P1","1","Peitoral:primary:100","needs_review","needs_review","not_in_scope","kFk3LPS76pU","single_target | safety_metadata_gap","","","","","false"
"10d2d0e8-d39c-41cd-ae06-46f0a56a3dde","Med ball overhead slam (arremesso acima ao solo)","P1","1","Deltoide Posterior:primary:100","needs_review","not_in_scope","not_in_scope","CkO1mfSBvv4","single_target","","","","","false"
"c51ab919-f750-481b-94ea-743657c3a414","Mobilidade Escapular em Puxada","P1","1","Dorsal:primary:100","needs_review","not_in_scope","not_in_scope","MjaCaIW0cVA","single_target","","","","","false"
"8ca3b7f7-6c36-4b2d-9468-1127f7b12841","Passada com Barra Reta ( afundo)","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","needs_review","nUlG__NTuxQ","single_target | duplicate_video_cluster","","","","","false"
"5fe82ae3-0ef1-4006-8792-75303f84f1ec","Plank row (remada na prancha)","P1","1","Core:primary:100","needs_review","needs_review","not_in_scope","tSwp4uhHACY","single_target | safety_metadata_gap","","","","","false"
"8f6eb5f3-64aa-4409-ae99-a6b96e3064b7","Plio Bound Burpee","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","OC8SuAknPJ4","single_target","","","","","false"
"e7ea8ceb-df29-430b-bc89-715c04e4d7d4","Pliometria Alternada Elevação","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","xJZKfWwL_wU","single_target","","","","","false"
"1f9c9f42-ac95-4fee-9925-086f390c9ec8","Pliometria Plano Frontal Elevação","P1","1","Performance:primary:100","needs_review","not_in_scope","needs_review","Z-MxAzTXBcM","single_target | duplicate_video_cluster","","","","","false"
"51a51037-7277-48fd-8b61-559ec69b88b6","Pliometria Unilateral apoio Banco","P1","1","Performance:primary:100","needs_review","not_in_scope","not_in_scope","8OeqYjEwQpg","single_target","","","","","false"
"e4840783-fbde-4e07-9546-6b6d5de4115b","Potência Wall Ball base Afundo","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","not_in_scope","__KTjkVJL6k","single_target","","","","","false"
"953eaf1d-1b3f-460e-b1fa-47ed3e90f0f0","Prancha Lateral em Abdução com Mini band + Crucifixo Unilateral","P1","1","Abdominais:primary:100","needs_review","needs_review","needs_review","pWGhRO5grqs","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"c85e058a-1e62-48e8-8e27-7bc988b82800","Pulldown","P1","1","Dorsal:primary:100","needs_review","needs_review","needs_review","WesVSdTPAAU","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
