codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,exercise_id
091,091-triceps-testa-barra-banco-reto.mp4,Tríceps Testa Barra Banco Reto,tríceps,Barra,normal,043b569d-b13d-4ff7-9d4e-a552ff9d85ef
092,092-triceps-testa-barra-solo.mp4,Tríceps Testa Barra Solo,tríceps,Barra,normal,7bfed90c-0875-45ea-af5e-beb5ce49cb60
093,093-prancha-na-bola-suica.mp4,Prancha na bola suíça,Core,Bola Suíça,normal,721e4851-7b5b-47c4-8d90-a8315323ad40
094,094-stir-the-pot-na-bola.mp4,Stir the pot na bola,Core,Bola Suíça,normal,7a360b5d-f93d-4864-ad2c-9cfedb42613f
095,095-med-ball-arremesso-reverso-acima-da-cabeca.mp4,Med ball arremesso reverso acima da cabeça,Performance,Bola/Medicine,ALTA,5371919c-fce9-4b92-b230-b782712f7e2c
096,096-med-ball-side-throw-na-parede-lateral.mp4,Med ball side throw na parede (lateral),Performance,Bola/Medicine,ALTA,ea9d5caf-fe01-458b-bf80-e394dc8b69fb
097,097-med-ball-slam-frontal.mp4,Med ball slam frontal,Performance,Bola/Medicine,ALTA,7603535e-d772-4d15-a000-615d745703dc
098,098-slam-ball-rotacional.mp4,Slam ball rotacional,Performance,Bola/Medicine,ALTA,4753f368-2ae5-40ca-9068-dd6622c25c7a
099,099-arremesso-acima-da-cabeca-com-medicine-ball.mp4,Arremesso acima da cabeça com medicine ball,Pliometria,Bola/Medicine,normal,4dbab5a1-26ad-419a-b995-b1d96e6e90a4
100,100-arremesso-de-peito-com-medicine-ball.mp4,Arremesso de peito com medicine ball,Pliometria,Bola/Medicine,normal,2647a1f4-34d8-4667-a846-fd72eed9c2d6
101,101-arremesso-rotacional-com-medicine-ball.mp4,Arremesso rotacional com medicine ball,Core,Bola/Medicine,normal,16945c86-3ad5-44fb-bfaf-e601ea1a5877
102,102-liberacao-de-gluteo-com-bolinha.mp4,Liberação de glúteo com bolinha,Liberação Miofascial,Bola/Medicine,normal,afef4221-dc2d-451d-9ed9-2b1f50533efb
103,103-liberacao-de-peitoral-com-bolinha.mp4,Liberação de peitoral com bolinha,Liberação Miofascial,Bola/Medicine,normal,d1ccbd02-4d54-49b7-9c55-8cb96cc55f37
104,104-liberacao-de-planta-do-pe-com-bolinha.mp4,Liberação de planta do pé com bolinha,Liberação Miofascial,Bola/Medicine,normal,3315fa14-ef57-40ec-9dbc-305a9f6ecd80
105,105-med-ball-arremesso-rotacional-na-parede.mp4,Med ball arremesso rotacional na parede,Performance,Bola/Medicine,normal,85570995-10cb-4b8e-9cf4-b7c454386410
106,106-med-ball-chest-pass-na-parede.mp4,Med ball chest pass na parede,Performance,Bola/Medicine,normal,49ff3d8a-2107-402a-aac3-553af863775b
107,107-med-ball-chest-throw-deitado-supino-explosivo.mp4,Med ball chest throw deitado (supino explosivo),Performance,Bola/Medicine,normal,43870805-9053-422a-b7e5-81c711089b90
108,108-med-ball-overhead-slam-arremesso-acima-ao-solo.mp4,Med ball overhead slam (arremesso acima ao solo),Performance,Bola/Medicine,normal,10d2d0e8-d39c-41cd-ae06-46f0a56a3dde
109,109-med-ball-scoop-toss-arremesso-de-baixo-para-frente.mp4,Med ball scoop toss (arremesso de baixo para frente),Performance,Bola/Medicine,normal,4aba82e0-0c2a-4723-9a5c-929db6b67476
110,110-med-ball-shot-put-arremesso-unilateral.mp4,Med ball shot put (arremesso unilateral),Performance,Bola/Medicine,normal,4fa9dd22-d57d-44a3-85cd-98310fe955ca
111,111-med-ball-squat-to-press-throw.mp4,Med ball squat to press throw,Performance,Bola/Medicine,normal,8fd89d73-2bba-4da8-a102-754e02df5583
112,112-med-ball-step-and-throw-passo-e-arremesso.mp4,Med ball step and throw (passo e arremesso),Performance,Bola/Medicine,normal,6d6cc96b-876b-494a-85e9-b3bc301d61f4
113,113-slam-ball.mp4,Slam ball,Funcional,Bola/Medicine,normal,cce6cde7-2251-49cf-9083-b7bbd0193630
114,114-slam-ball-lateral.mp4,Slam ball lateral,Performance,Bola/Medicine,normal,069009fe-c5ed-4edd-b018-c247ca09675f
115,115-wall-ball.mp4,Wall ball,Funcional,Bola/Medicine,normal,d2b04cb4-1a7d-4e74-af31-19809acb719a
116,116-wall-ball-lateral.mp4,Wall ball lateral,Performance,Bola/Medicine,normal,49a466e8-8b75-499a-9595-b8c2dff6b6c4
117,117-wall-ball-unilateral.mp4,Wall ball unilateral,Performance,Bola/Medicine,normal,191b67b9-e656-4ec4-bcc4-8041176133a9
118,118-chop-meio-ajoelhado-tall-half-kneeling.mp4,Chop meio-ajoelhado (tall/half kneeling),Controle Motor,Cabo/Polia,ALTA,73c71887-0b9f-47f9-9397-4a14d0d10844
119,119-cross-over-polia-alta.mp4,Cross Over Polia Alta,peitoral,Cabo/Polia,ALTA,b551a0d4-326f-4b4c-b909-8af4929130b2
120,120-cross-over-polia-alta-3-porcoes.mp4,Cross Over Polia Alta 3 Porções,peitoral,Cabo/Polia,ALTA,b10456d7-2463-41ee-9087-f7cf42006a00
121,121-extensao-de-quadril-em-diagonal-polia.mp4,Extensão de Quadril em Diagonal Polia,glúteo,Cabo/Polia,ALTA,f22fa86e-fde5-4fe9-b8a0-098ced95239a
122,122-puxada-neutra-polia.mp4,Puxada Neutra Polia,costas,Cabo/Polia,ALTA,3b59a032-f393-479c-b31f-e9059390c3da
123,123-puxada-pronada-polia.mp4,Puxada Pronada Polia,costas,Cabo/Polia,ALTA,f0d967d8-ff18-4881-8c28-aca104bf5ac6
124,124-rosca-inclinada-polia-barra.mp4,Rosca Inclinada Polia Barra,bíceps,Cabo/Polia,ALTA,f4558c21-4ace-4c19-834c-9deafaab7fef
125,125-triceps-frances-polia-corda.mp4,Tríceps Francês Polia Corda,tríceps,Cabo/Polia,ALTA,99e2a39b-507d-4e8a-b260-6f5e4dae07c5
126,126-triceps-polia-barra.mp4,Tríceps Polia Barra,tríceps,Cabo/Polia,ALTA,d06f7cc9-380d-4fb1-9b60-5bd92a25dc22
127,127-abdominal-anti-rotacao-polia.mp4,Abdominal Anti Rotação Polia,abdômen,Cabo/Polia,normal,acd1e2e2-39a0-4f00-bad8-c6cb8e674264
128,128-abdominal-anti-rotacao-polia-com-movimento.mp4,Abdominal Anti Rotação Polia Com Movimento,abdômen,Cabo/Polia,normal,2f4377e5-6822-44b1-9d65-35bcdff31bf2
129,129-abdominal-polia-alta-com-corda.mp4,Abdominal Polia Alta com Corda,abdômen,Cabo/Polia,normal,9c193276-7c38-4009-a259-2cf7cf1ee406
130,130-abducao-de-quadril-cruzada-polia.mp4,Abdução de Quadril Cruzada Polia,glúteo,Cabo/Polia,normal,c0aa51e9-82b6-40f0-af1f-cf32be16c1da
131,131-abducao-de-quadril-polia.mp4,Abdução de Quadril Polia,glúteo,Cabo/Polia,normal,fb5c8403-d675-4928-8d39-cec23fc7054b
132,132-biset-rosca-direta-polia-rosca-invertida-polia.mp4,Biset Rosca Direta Polia + Rosca Invertida Polia,bíceps,Cabo/Polia,normal,fd6071fb-701b-4d09-afb2-fa7ba8fc5e24
133,133-biset-triceps-polia-inverso-polia-barra.mp4,Biset Tríceps Polia + Inverso Polia Barra,tríceps,Cabo/Polia,normal,b5b7247a-e72d-4010-aec7-b0f21a8e5fa1
134,134-biset-triceps-polia-testa-polia-barra.mp4,Biset Tríceps Polia + Testa Polia Barra,tríceps,Cabo/Polia,normal,39a9d0bc-1aaf-4838-a14d-4e516b15d075
135,135-biset-triceps-polia-testa-polia-corda.mp4,Biset Tríceps Polia + Testa Polia Corda,tríceps,Cabo/Polia,normal,86ee3559-0d35-47b2-877a-cb078d56d975
136,136-cable-crunch-abdominal-na-polia.mp4,Cable crunch (abdominal na polia),Core,Cabo/Polia,normal,7caad9cc-dce4-40b5-a9c7-455c7853570e
137,137-chop-polia-com-corda-core.mp4,Chop Polia com Corda (CORE),Musculação,Cabo/Polia,normal,c61b4e4f-4f72-410e-bbe1-c0e95e4a17d7
138,138-coice-polia-baixa.mp4,Coice Polia Baixa,glúteo,Cabo/Polia,normal,3bd15908-90de-4c6a-8c64-31ad3c75f845
139,139-coice-polia-media.mp4,Coice Polia Média,glúteo,Cabo/Polia,normal,e6058264-060f-4e41-83ee-6810f38ca520
140,140-crucifixo-invertido-cruzado-polia.mp4,Crucifixo Invertido Cruzado Polia,ombro,Cabo/Polia,normal,8a461d7f-c174-4488-8dca-b4339ad26c81
141,141-crucifixo-invertido-unilateral-polia.mp4,Crucifixo Invertido Unilateral Polia,ombro,Cabo/Polia,normal,b5265c3f-05a3-4fdc-834a-2b6f0c69d12b
142,142-elevacao-frontal-polia-barra.mp4,Elevação Frontal Polia Barra,ombro,Cabo/Polia,normal,e0a19df2-2e2c-4e5a-930b-3512059b2320
143,143-elevacao-frontal-polia-corda.mp4,Elevação Frontal Polia Corda,ombro,Cabo/Polia,normal,f7503557-0c4c-4417-b6e0-594b6cc30dbf
144,144-elevacao-frontal-unilateral-polia.mp4,Elevação Frontal Unilateral Polia,ombro,Cabo/Polia,normal,c3a857e7-c410-47d2-8aef-6dd7cb1ff9fc
145,145-elevacao-lateral-cruzada-polia.mp4,Elevação Lateral Cruzada Polia,ombro,Cabo/Polia,normal,990793df-0bdf-4afa-8b70-65117c9a5a2a
146,146-elevacao-lateral-inclinada-polia.mp4,Elevação Lateral Inclinada Polia,ombro,Cabo/Polia,normal,4d6e1ebd-b611-4a8d-bee2-c16fa7a8b8a4
147,147-elevacao-lateral-polia.mp4,Elevação Lateral Polia,ombro,Cabo/Polia,normal,5a700771-7bf1-4c3e-8397-072a0aa98c75
148,148-extensao-de-punho-90-graus-polia-baixa.mp4,Extensão de Punho 90 Graus Polia Baixa,antebraço,Cabo/Polia,normal,9b9b7fc4-fdab-4ac8-978b-eb439db7be5b
