codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,video_referencia,como_executar
110,110-med-ball-shot-put-arremesso-unilateral.mp4,Med ball shot put (arremesso unilateral),Performance,Bola/Medicine,normal,https://youtu.be/BFt6Eot1cmA,
111,111-med-ball-squat-to-press-throw.mp4,Med ball squat to press throw,Performance,Bola/Medicine,normal,https://youtu.be/qdpVIcw4M0s,
112,112-med-ball-step-and-throw-passo-e-arremesso.mp4,Med ball step and throw (passo e arremesso),Performance,Bola/Medicine,normal,https://youtu.be/xgKoH9pWYzs,
113,113-slam-ball.mp4,Slam ball,Funcional,Bola/Medicine,normal,https://youtu.be/Cuf9jy-RC5A,
114,114-slam-ball-lateral.mp4,Slam ball lateral,Performance,Bola/Medicine,normal,https://youtu.be/GeEmfdEONWA,
115,115-wall-ball.mp4,Wall ball,Funcional,Bola/Medicine,normal,https://youtu.be/WGM7FjbDJUA,
116,116-wall-ball-lateral.mp4,Wall ball lateral,Performance,Bola/Medicine,normal,https://youtu.be/i7Y5eZ0ZZdQ,
117,117-wall-ball-unilateral.mp4,Wall ball unilateral,Performance,Bola/Medicine,normal,https://youtu.be/JnuVklrbSxo,
228,228-battle-rope-ondas.mp4,Battle rope (ondas),Funcional,Corda Naval,ALTA,https://youtu.be/UZTrXSjDH4E,
233,233-bound-reativo-com-banda-no-quadril.mp4,Bound reativo com banda no quadril,Performance,Elástico/Band,ALTA,https://youtu.be/uUHJvzKE6MM,
234,234-concha-clamshell-com-banda.mp4,Concha (clamshell) com banda,Ativação,Elástico/Band,ALTA,https://youtu.be/6rWe6tLc_KM,
235,235-fisio-quadril-abducao-isometrica-de-gluteo-medio.mp4,Fisio Quadril: abdução isométrica de glúteo médio,Fisioterapia,Elástico/Band,ALTA,https://youtu.be/hYN0yKMIp5c,
236,236-largada-resistida-com-banda-band-start.mp4,Largada resistida com banda (band start),Performance,Elástico/Band,ALTA,https://youtu.be/0FA1NtkBV9M,
237,237-pogo-reativo-com-mini-band.mp4,Pogo reativo com mini band,Performance,Elástico/Band,ALTA,https://youtu.be/J7zgGSbKBKI,
238,238-sapinho-banco-com-minband-frog.mp4,Sapinho Banco com Minband (Frog),glúteo,Elástico/Band,ALTA,https://youtu.be/YKILedwO7X4,
239,239-sprint-resistido-com-banda.mp4,Sprint resistido com banda,Performance,Elástico/Band,ALTA,https://youtu.be/Sxp-JuBM4MU,
240,240-abducao-de-quadril-com-miniband.mp4,Abdução de Quadril com Miniband,glúteo,Elástico/Band,normal,https://youtu.be/ptu1IDCO-Fc,
241,241-abducao-de-quadril-em-prancha-lateral-com-miniband.mp4,Abdução de Quadril em Prancha Lateral com miniband,glúteo,Elástico/Band,normal,https://youtu.be/WV7fArBuYS4,
242,242-abducao-de-quadril-em-pe-com-banda.mp4,Abdução de quadril em pé com banda,Ativação,Elástico/Band,normal,https://youtu.be/ukW7wkohl8I,
243,243-abducao-na-parede-com-mini-band.mp4,Abdução na parede com mini band,Elástico,Elástico/Band,normal,https://youtu.be/u84UhFHoEUs,Importado do MFIT (page-1).
244,244-agachamento-unilateral-com-mini-band.mp4,Agachamento unilateral com mini band,Quadríceps,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/n1yprsnszm_opt.mp4,Importado do MFIT (page-1). Categoria MFIT: Musculação.
245,245-apoio-unipodal-mini-band-ativacao-pe.mp4,Apoio Unipodal + mini band ( ativação pé ),Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/4y507h6mbly_opt.mp4,Importado do MFIT (page-1).
246,246-aterrissagem-unipodal-com-banda-perturbacao.mp4,Aterrissagem unipodal com banda (perturbação),Performance,Elástico/Band,normal,https://youtu.be/zyY_PNQq21U,
247,247-ativacao-de-gluteo-mini-band.mp4,Ativação de Glúteo mini band,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/f95wdftayt_opt.mp4,Importado do MFIT (page-1).
